date,name,price,source,price_clean,category
2025-03-01,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-01,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-01,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-01,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-01,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-01,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-01,Açúcar Cristal Carrefour 1 kg,"R$ 4,95",https://mercado.carrefour.com.br/busca/acucar,4.95,acucar
2025-03-01,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,45",https://mercado.carrefour.com.br/busca/acucar,7.45,acucar
2025-03-01,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-01,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-01,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-02,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-02,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-02,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-02,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-02,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-02,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-02,Açúcar Cristal Carrefour 1 kg,"R$ 4,69",https://mercado.carrefour.com.br/busca/acucar,4.69,acucar
2025-03-02,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,45",https://mercado.carrefour.com.br/busca/acucar,7.45,acucar
2025-03-02,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-02,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-02,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-03,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-03,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-03,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-03,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-03,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-03,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-03,Açúcar Cristal Carrefour 1 kg,"R$ 4,95",https://mercado.carrefour.com.br/busca/acucar,4.95,acucar
2025-03-03,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,45",https://mercado.carrefour.com.br/busca/acucar,7.45,acucar
2025-03-03,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-03,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-03,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-04,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-04,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-04,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-04,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-04,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-04,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-04,Açúcar Cristal Carrefour 1 kg,"R$ 4,69",https://mercado.carrefour.com.br/busca/acucar,4.69,acucar
2025-03-04,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-04,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-04,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-04,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-05,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-05,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-05,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-05,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-05,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-05,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-05,Açúcar Cristal Carrefour 1 kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-05,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-05,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-05,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-05,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-06,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-06,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-06,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-06,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-06,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-06,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-06,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-06,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-06,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-06,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-06,Açúcar Cristal Caravelas 2Kg,"R$ 8,49",https://mercado.carrefour.com.br/busca/acucar,8.49,acucar
2025-03-07,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-07,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-03-07,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-07,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-07,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-07,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-07,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-07,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-07,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-07,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-07,Açúcar Cristal Caravelas 2Kg,"R$ 8,49",https://mercado.carrefour.com.br/busca/acucar,8.49,acucar
2025-03-08,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-08,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-08,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-08,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-08,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-08,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-08,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-08,Açúcar Cristal Carrefour 1 kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-08,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-08,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-08,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-08,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-09,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-09,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-09,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-09,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-09,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-09,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-09,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-09,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-09,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-09,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-09,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-10,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-10,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-10,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-10,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-10,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-10,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-10,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-10,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-10,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-10,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-10,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-11,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-11,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-11,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-11,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-11,Açúcar Refinado Caravelas 1kg,"R$ 4,29",https://mercado.carrefour.com.br/busca/acucar,4.29,acucar
2025-03-11,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-11,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-11,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-11,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-11,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-11,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-11,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-12,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-12,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-12,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-12,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-12,Açúcar Refinado Caravelas 1kg,"R$ 4,45",https://mercado.carrefour.com.br/busca/acucar,4.45,acucar
2025-03-12,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-12,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-12,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-12,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-12,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-12,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-12,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-13,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-13,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-13,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-13,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-13,Açúcar Refinado Caravelas 1kg,"R$ 4,45",https://mercado.carrefour.com.br/busca/acucar,4.45,acucar
2025-03-13,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-13,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-13,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-13,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-03-13,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-13,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-13,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-14,Açúcar Refinado Carrefour 1kg,"R$ 3,99",https://mercado.carrefour.com.br/busca/acucar,3.99,acucar
2025-03-14,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 7,19",https://mercado.carrefour.com.br/busca/acucar,7.19,acucar
2025-03-14,Açúcar Cristal Orgânico União 1Kg,"R$ 5,99",https://mercado.carrefour.com.br/busca/acucar,5.99,acucar
2025-03-14,Açúcar Mascavo Orgânico Jasmine 500g,"R$ 12,09",https://mercado.carrefour.com.br/busca/acucar,12.09,acucar
2025-03-14,Açúcar Mascavo Orgânico Native 250 g,"R$ 10,59",https://mercado.carrefour.com.br/busca/acucar,10.59,acucar
2025-03-14,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-14,Açúcar Refinado Caravelas 1kg,"R$ 4,45",https://mercado.carrefour.com.br/busca/acucar,4.45,acucar
2025-03-14,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-14,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-14,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-14,Açúcar Refinado União Doçúcar 1Kg,"R$ 6,75",https://mercado.carrefour.com.br/busca/acucar,6.75,acucar
2025-03-14,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-15,Açúcar Refinado Carrefour 1kg,"R$ 3,69",https://mercado.carrefour.com.br/busca/acucar,3.69,acucar
2025-03-15,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 7,19",https://mercado.carrefour.com.br/busca/acucar,7.19,acucar
2025-03-15,Açúcar Mascavo Orgânico Native 250 g,"R$ 10,59",https://mercado.carrefour.com.br/busca/acucar,10.59,acucar
2025-03-15,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-15,Açúcar Refinado Caravelas 1kg,"R$ 4,45",https://mercado.carrefour.com.br/busca/acucar,4.45,acucar
2025-03-15,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-15,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-15,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-03-15,Açúcar Refinado União Doçúcar 1Kg,"R$ 6,75",https://mercado.carrefour.com.br/busca/acucar,6.75,acucar
2025-03-15,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-15,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-03-15,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-03-16,Açúcar Refinado Carrefour 1kg,"R$ 3,69",https://mercado.carrefour.com.br/busca/acucar,3.69,acucar
2025-03-16,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 7,19",https://mercado.carrefour.com.br/busca/acucar,7.19,acucar
2025-03-16,Açúcar Mascavo Orgânico Native 250 g,"R$ 10,59",https://mercado.carrefour.com.br/busca/acucar,10.59,acucar
2025-03-16,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-03-16,Açúcar Refinado Caravelas 1kg,"R$ 4,45",https://mercado.carrefour.com.br/busca/acucar,4.45,acucar
2025-03-16,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-03-16,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-03-16,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-03-16,Açúcar Refinado União Doçúcar 1Kg,"R$ 6,75",https://mercado.carrefour.com.br/busca/acucar,6.75,acucar
2025-03-16,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-03-16,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
